date,description,debit,credit
2026-08-09,UPI/CR/240857/PHONEPE,0.0,3308.57
2026-08-10,UPI/CR/726561/PHONEPE,0.0,4640.8
2026-08-10,RTGS/DR/699948/KUMAR INDUSTRIES,2035.51,0.0
2026-08-10,RTGS/DR/606547/AGARWAL TRADING,2035.51,0.0
2026-08-10,IMPS/DR/657788/JAIN BROTHERS,2035.51,0.0
2026-08-10,NEFT/DR/192831/ELECTRICITY,2500.0,0.0
2026-08-11,UPI/CR/572053/PHONEPE,0.0,4448.15
2026-08-12,UPI/CR/603901/PHONEPE,0.0,3576.89
2026-08-12,CASH DEPOSIT/CDM/9001,0.0,6984.45
2026-08-13,UPI/CR/424173/PHONEPE,0.0,4039.6
2026-08-14,UPI/CR/389654/PHONEPE,0.0,5329.9
2026-08-15,CASH DEPOSIT/CDM/6002,0.0,12339.9
2026-08-15,UPI/CR/846911/PHONEPE,0.0,4601.73
2026-08-16,UPI/CR/857347/PHONEPE,0.0,3966.72
2026-08-17,NEFT/DR/433129/JAIN BROTHERS,7538.5,0.0
2026-08-17,RTGS/DR/513797/AGARWAL TRADING,7538.5,0.0
2026-08-17,UPI/DR/459333/KUMAR INDUSTRIES,7538.5,0.0
2026-08-17,UPI/CR/192650/PHONEPE,0.0,4249.37
2026-08-18,CASH DEPOSIT/CDM/8102,0.0,6469.36
2026-08-18,UPI/CR/859352/PHONEPE,0.0,3983.39
2026-08-19,UPI/CR/745604/PHONEPE,0.0,4152.32
2026-08-20,UPI/CR/275323/PHONEPE,0.0,3919.24
2026-08-21,ATM/CASH WDL/70563,5000.0,0.0
2026-08-21,CASH DEPOSIT/CDM/9598,0.0,8707.19
2026-08-21,UPI/CR/317381/PHONEPE,0.0,5195.61
2026-08-22,UPI/CR/500282/PHONEPE,0.0,6618.04
2026-08-23,UPI/CR/521199/PHONEPE,0.0,4849.07
2026-08-24,IMPS/DR/840846/JAIN BROTHERS,8544.4,0.0
2026-08-24,CASH DEPOSIT/CDM/2184,0.0,11770.42
