date,amount
2026-08-09,3308.57
2026-08-10,4640.8
2026-08-11,4448.15
2026-08-12,3576.89
2026-08-13,4039.6
2026-08-14,5329.9
2026-08-15,4601.73
2026-08-16,3966.72
2026-08-17,4249.37
2026-08-18,3983.39
2026-08-19,4152.32
2026-08-20,3919.24
2026-08-21,5195.61
2026-08-22,6618.04
2026-08-23,4849.07
2026-08-24,4895.5
2026-08-25,5520.68
2026-08-26,4027.84
2026-08-27,3576.6
2026-08-28,5189.89
2026-08-29,4816.92
2026-08-30,3974.28
2026-08-31,3163.23
2026-09-01,4149.63
2026-09-02,3599.69
2026-09-03,4260.64
2026-09-04,5290.38
2026-09-05,3833.1
2026-09-06,2446.87
2026-09-07,3671.29
2026-09-08,3965.3
2026-09-09,3952.05
2026-09-10,3696.24
2026-09-11,7973.46
2026-09-12,4713.23
2026-09-13,2582.45
2026-09-14,4374.33
2026-09-15,3992.61
2026-09-16,4028.39
2026-09-17,4144.67
2026-09-18,4104.12
2026-09-19,5705.75
2026-09-20,3786.7
2026-09-21,3308.81
2026-09-22,5060.31
