date,description,debit,credit
2025-11-27,UPI/CR/360359/PHONEPE,0.0,14608.65
2025-11-28,UPI/CR/349402/PHONEPE,0.0,15038.86
2025-11-29,UPI/CR/586428/PHONEPE,0.0,13841.42
2025-11-30,UPI/CR/230853/PHONEPE,0.0,7538.46
2025-12-01,CASH DEPOSIT/CDM/9104,0.0,14225.19
2025-12-01,NEFT/DR/768878/SHAH COMMERCIAL,25352.02,0.0
2025-12-01,UPI/DR/550819/KUMAR INDUSTRIES,25352.02,0.0
2025-12-01,IMPS/DR/631706/AGARWAL TRADING,25352.02,0.0
2025-12-01,NEFT/DR/522529/RENT,12000.0,0.0
2025-12-01,UPI/CR/378915/PHONEPE,0.0,13465.49
2025-12-02,UPI/CR/540971/PHONEPE,0.0,10384.29
2025-12-03,UPI/CR/803587/PHONEPE,0.0,13793.88
2025-12-04,UPI/CR/268942/PHONEPE,0.0,11740.9
2025-12-04,CASH DEPOSIT/CDM/6513,0.0,27907.55
2025-12-05,NEFT/DR/775097/SALARY,8000.0,0.0
2025-12-05,UPI/CR/221902/PHONEPE,0.0,15859.8
2025-12-06,UPI/CR/132836/PHONEPE,0.0,13277.07
2025-12-07,UPI/CR/776511/PHONEPE,0.0,8880.17
2025-12-08,RTGS/DR/747692/AGARWAL TRADING,31797.15,0.0
2025-12-08,UPI/CR/793832/PHONEPE,0.0,10164.02
2025-12-08,UPI/DR/147156/KUMAR INDUSTRIES,31797.15,0.0
2025-12-08,IMPS/DR/667190/SHAH COMMERCIAL,31797.15,0.0
2025-12-09,UPI/CR/291612/PHONEPE,0.0,8303.68
2025-12-09,CASH DEPOSIT/CDM/4712,0.0,25129.62
2025-12-10,NEFT/DR/138997/ELECTRICITY,2500.0,0.0
2025-12-10,ATM/CASH WDL/85548,4000.0,0.0
2025-12-10,UPI/CR/911990/PHONEPE,0.0,12342.55
2025-12-11,UPI/CR/944237/PHONEPE,0.0,12708.61
2025-12-12,UPI/CR/845816/PHONEPE,0.0,13161.43
2025-12-13,UPI/CR/566498/PHONEPE,0.0,16024.79
2025-12-13,CASH DEPOSIT/CDM/7473,0.0,23344.73
2025-12-14,UPI/CR/347305/PHONEPE,0.0,7865.85
2025-12-15,UPI/CR/210679/PHONEPE,0.0,9156.95
2025-12-15,UPI/DR/292842/AGARWAL TRADING,31995.58,0.0
2025-12-15,NEFT/DR/306174/KUMAR INDUSTRIES,31995.58,0.0
2025-12-15,IMPS/DR/140204/SHAH COMMERCIAL,31995.58,0.0
