date,description,debit,credit
2024-07-15,UPI/CR/505364/PHONEPE,0.0,3124.46
2024-07-16,UPI/CR/744599/PHONEPE,0.0,4111.43
2024-07-17,UPI/CR/583600/PHONEPE,0.0,4753.82
2024-07-17,CASH DEPOSIT/CDM/8364,0.0,12508.17
2024-07-18,UPI/CR/769004/PHONEPE,0.0,5869.65
2024-07-19,UPI/CR/962499/PHONEPE,0.0,5301.89
2024-07-20,UPI/CR/489253/PHONEPE,0.0,7944.01
2024-07-20,CASH DEPOSIT/CDM/1906,0.0,16418.02
2024-07-21,UPI/CR/477830/PHONEPE,0.0,4283.84
2024-07-22,NEFT/DR/394479/SINGH SUPPLIERS,28757.25,0.0
2024-07-22,IMPS/DR/226086/AGARWAL TRADING,28757.25,0.0
2024-07-22,UPI/CR/791461/PHONEPE,0.0,4108.15
2024-07-23,UPI/CR/440483/PHONEPE,0.0,3909.48
2024-07-24,UPI/CR/177976/PHONEPE,0.0,5514.74
2024-07-25,CASH DEPOSIT/CDM/4561,0.0,23524.4
2024-07-25,UPI/CR/941334/PHONEPE,0.0,4834.82
2024-07-26,UPI/CR/110868/PHONEPE,0.0,6033.43
2024-07-27,UPI/CR/257142/PHONEPE,0.0,6506.78
2024-07-28,UPI/CR/878587/PHONEPE,0.0,3453.59
2024-07-28,ATM/CASH WDL/79216,4000.0,0.0
2024-07-29,CASH DEPOSIT/CDM/3755,0.0,36958.89
2024-07-29,NEFT/DR/868657/AGARWAL TRADING,26230.22,0.0
2024-07-29,IMPS/DR/780244/SINGH SUPPLIERS,26230.22,0.0
2024-07-29,UPI/CR/250922/PHONEPE,0.0,3818.1
2024-07-30,UPI/CR/833535/PHONEPE,0.0,3234.74
2024-07-31,UPI/CR/481592/PHONEPE,0.0,4354.29
2024-08-01,UPI/CR/106134/PHONEPE,0.0,6095.01
2024-08-01,NEFT/DR/897058/RENT,12000.0,0.0
2024-08-02,UPI/CR/575491/PHONEPE,0.0,6891.04
2024-08-03,UPI/CR/122322/PHONEPE,0.0,5178.85
2024-08-03,CASH DEPOSIT/CDM/4817,0.0,32928.71
2024-08-04,UPI/CR/323320/PHONEPE,0.0,3630.77
2024-08-05,UPI/CR/936196/PHONEPE,0.0,3844.92
2024-08-05,NEFT/DR/520062/SINGH SUPPLIERS,24097.64,0.0
2024-08-05,RTGS/DR/329203/AGARWAL TRADING,24097.64,0.0
2024-08-05,NEFT/DR/893503/SALARY,8000.0,0.0
2024-08-06,UPI/CR/944156/PHONEPE,0.0,4855.13
2024-08-07,UPI/CR/229899/PHONEPE,0.0,6407.26
2024-08-07,CASH DEPOSIT/CDM/9360,0.0,30899.69
2024-08-08,UPI/CR/165165/PHONEPE,0.0,5170.96
2024-08-09,UPI/CR/464073/PHONEPE,0.0,6063.79
2024-08-10,CASH DEPOSIT/CDM/4125,0.0,22637.95
2024-08-10,UPI/CR/437878/PHONEPE,0.0,7032.56
2024-08-10,NEFT/DR/596156/ELECTRICITY,2500.0,0.0
2024-08-11,UPI/CR/183272/PHONEPE,0.0,3514.37
2024-08-12,UPI/CR/680203/PHONEPE,0.0,4447.78
2024-08-12,RTGS/DR/909766/AGARWAL TRADING,28207.77,0.0
2024-08-12,NEFT/DR/204516/SINGH SUPPLIERS,28207.77,0.0
2024-08-13,UPI/CR/101369/PHONEPE,0.0,4239.57
2024-08-14,CASH DEPOSIT/CDM/7217,0.0,38361.02
2024-08-14,UPI/CR/424196/PHONEPE,0.0,5891.64
2024-08-15,UPI/CR/914645/PHONEPE,0.0,4729.49
2024-08-16,ATM/CASH WDL/39892,3000.0,0.0
2024-08-16,UPI/CR/204641/PHONEPE,0.0,6015.59
2024-08-17,UPI/CR/214744/PHONEPE,0.0,5473.55
2024-08-17,CASH DEPOSIT/CDM/1242,0.0,17217.38
2024-08-18,UPI/CR/606670/PHONEPE,0.0,3619.13
2024-08-19,UPI/CR/558230/PHONEPE,0.0,3685.85
2024-08-19,NEFT/DR/617328/AGARWAL TRADING,24975.02,0.0
2024-08-19,RTGS/DR/558687/SINGH SUPPLIERS,24975.02,0.0
2024-08-20,UPI/CR/336578/PHONEPE,0.0,4351.04
2024-08-21,UPI/CR/966576/PHONEPE,0.0,5000.81
2024-08-22,CASH DEPOSIT/CDM/6184,0.0,36401.97
2024-08-22,UPI/CR/444395/PHONEPE,0.0,5121.93
2024-08-23,UPI/CR/807465/PHONEPE,0.0,5763.24
2024-08-24,UPI/CR/350442/PHONEPE,0.0,6900.79
2024-08-25,CASH DEPOSIT/CDM/1324,0.0,28762.47
2024-08-25,UPI/CR/254425/PHONEPE,0.0,3525.08
2024-08-26,IMPS/DR/831912/SINGH SUPPLIERS,25758.09,0.0
2024-08-26,UPI/CR/473632/PHONEPE,0.0,4782.14
2024-08-26,RTGS/DR/470179/AGARWAL TRADING,25758.09,0.0
2024-08-27,UPI/CR/283927/PHONEPE,0.0,4354.12
2024-08-28,UPI/CR/348188/PHONEPE,0.0,3891.41
2024-08-29,CASH DEPOSIT/CDM/3823,0.0,28464.8
2024-08-29,UPI/CR/947360/PHONEPE,0.0,5365.31
2024-08-30,UPI/CR/359104/PHONEPE,0.0,5013.65
2024-08-31,UPI/CR/618147/PHONEPE,0.0,7174.84
2024-09-01,NEFT/DR/637356/RENT,12000.0,0.0
2024-09-01,UPI/CR/814030/PHONEPE,0.0,2957.34
2024-09-02,UPI/DR/236313/SINGH SUPPLIERS,24835.97,0.0
2024-09-02,UPI/CR/735089/PHONEPE,0.0,4539.9
2024-09-02,CASH DEPOSIT/CDM/1440,0.0,20611.15
2024-09-02,NEFT/DR/803726/AGARWAL TRADING,24835.97,0.0
2024-09-03,UPI/CR/585265/PHONEPE,0.0,5109.64
2024-09-04,UPI/CR/579554/PHONEPE,0.0,5434.34
2024-09-05,NEFT/DR/767635/SALARY,8000.0,0.0
2024-09-05,UPI/CR/485882/PHONEPE,0.0,6213.24
2024-09-06,UPI/CR/849360/PHONEPE,0.0,7209.39
2024-09-06,CASH DEPOSIT/CDM/7982,0.0,40340.21
2024-09-07,UPI/CR/774070/PHONEPE,0.0,6823.65
2024-09-08,UPI/CR/126810/PHONEPE,0.0,3302.67
2024-09-09,IMPS/DR/348280/AGARWAL TRADING,26544.5,0.0
2024-09-09,UPI/DR/693561/SINGH SUPPLIERS,26544.5,0.0
2024-09-09,CASH DEPOSIT/CDM/7764,0.0,23351.13
2024-09-09,UPI/CR/163903/PHONEPE,0.0,2989.02
2024-09-10,NEFT/DR/524168/ELECTRICITY,2500.0,0.0
2024-09-10,UPI/CR/199157/PHONEPE,0.0,3658.37
2024-09-11,UPI/CR/414248/PHONEPE,0.0,3828.79
2024-09-12,UPI/CR/465218/PHONEPE,0.0,5837.04
2024-09-12,CASH DEPOSIT/CDM/7592,0.0,24716.44
2024-09-13,UPI/CR/705570/PHONEPE,0.0,6737.57
2024-09-14,UPI/CR/127482/PHONEPE,0.0,6129.11
2024-09-15,UPI/CR/212380/PHONEPE,0.0,3435.53
2024-09-15,ATM/CASH WDL/59418,5000.0,0.0
2024-09-16,UPI/DR/564670/AGARWAL TRADING,24671.42,0.0
2024-09-16,UPI/CR/211116/PHONEPE,0.0,2849.26
2024-09-16,CASH DEPOSIT/CDM/7660,0.0,26229.62
2024-09-16,RTGS/DR/400592/SINGH SUPPLIERS,24671.42,0.0
2024-09-17,UPI/CR/618726/PHONEPE,0.0,5657.79
2024-09-18,UPI/CR/539642/PHONEPE,0.0,4666.26
2024-09-19,UPI/CR/846919/PHONEPE,0.0,5329.84
2024-09-20,UPI/CR/528763/PHONEPE,0.0,6056.86
2024-09-20,CASH DEPOSIT/CDM/7067,0.0,34040.93
2024-09-21,UPI/CR/187822/PHONEPE,0.0,6326.53
2024-09-22,UPI/CR/334954/PHONEPE,0.0,3053.01
2024-09-23,IMPS/DR/144769/SINGH SUPPLIERS,26755.18,0.0
2024-09-23,UPI/DR/348868/AGARWAL TRADING,26755.18,0.0
2024-09-23,UPI/CR/211232/PHONEPE,0.0,4214.81
2024-09-24,UPI/CR/623077/PHONEPE,0.0,4221.97
2024-09-25,CASH DEPOSIT/CDM/4943,0.0,26890.53
2024-09-25,UPI/CR/874559/PHONEPE,0.0,4220.95
2024-09-26,UPI/CR/847918/PHONEPE,0.0,4882.18
2024-09-27,UPI/CR/964810/PHONEPE,0.0,6522.58
2024-09-28,UPI/CR/814733/PHONEPE,0.0,6212.44
2024-09-29,UPI/CR/546095/PHONEPE,0.0,4050.4
2024-09-30,UPI/CR/379142/PHONEPE,0.0,5343.46
2024-09-30,NEFT/DR/762315/AGARWAL TRADING,26358.84,0.0
2024-09-30,CASH DEPOSIT/CDM/9160,0.0,25642.49
2024-09-30,UPI/DR/503691/SINGH SUPPLIERS,26358.84,0.0
2024-10-01,NEFT/DR/267317/RENT,12000.0,0.0
2024-10-01,UPI/CR/862998/PHONEPE,0.0,5821.91
2024-10-02,UPI/CR/885337/PHONEPE,0.0,4831.59
2024-10-03,UPI/CR/893219/PHONEPE,0.0,6245.42
2024-10-04,UPI/CR/509771/PHONEPE,0.0,6013.17
