date,amount
2024-07-15,3124.46
2024-07-16,4111.43
2024-07-17,4753.82
2024-07-18,5869.65
2024-07-19,5301.89
2024-07-20,7944.01
2024-07-21,4283.84
2024-07-22,4108.15
2024-07-23,3909.48
2024-07-24,5514.74
2024-07-25,4834.82
2024-07-26,6033.43
2024-07-27,6506.78
2024-07-28,3453.59
2024-07-29,3818.1
2024-07-30,3234.74
2024-07-31,4354.29
2024-08-01,6095.01
2024-08-02,6891.04
2024-08-03,5178.85
2024-08-04,3630.77
2024-08-05,3844.92
2024-08-06,4855.13
2024-08-07,6407.26
2024-08-08,5170.96
2024-08-09,6063.79
2024-08-10,7032.56
2024-08-11,3514.37
2024-08-12,4447.78
2024-08-13,4239.57
2024-08-14,5891.64
2024-08-15,4729.49
2024-08-16,6015.59
2024-08-17,5473.55
2024-08-18,3619.13
2024-08-19,3685.85
2024-08-20,4351.04
2024-08-21,5000.81
2024-08-22,5121.93
2024-08-23,5763.24
2024-08-24,6900.79
2024-08-25,3525.08
2024-08-26,4782.14
2024-08-27,4354.12
2024-08-28,3891.41
2024-08-29,5365.31
2024-08-30,5013.65
2024-08-31,7174.84
2024-09-01,2957.34
2024-09-02,4539.9
2024-09-03,5109.64
2024-09-04,5434.34
2024-09-05,6213.24
2024-09-06,7209.39
2024-09-07,6823.65
2024-09-08,3302.67
2024-09-09,2989.02
2024-09-10,3658.37
2024-09-11,3828.79
2024-09-12,5837.04
2024-09-13,6737.57
2024-09-14,6129.11
2024-09-15,3435.53
2024-09-16,2849.26
2024-09-17,5657.79
2024-09-18,4666.26
2024-09-19,5329.84
2024-09-20,6056.86
2024-09-21,6326.53
2024-09-22,3053.01
2024-09-23,4214.81
2024-09-24,4221.97
2024-09-25,4220.95
2024-09-26,4882.18
2024-09-27,6522.58
2024-09-28,6212.44
2024-09-29,4050.4
2024-09-30,5343.46
2024-10-01,5821.91
2024-10-02,4831.59
2024-10-03,6245.42
2024-10-04,6013.17
2024-10-05,6439.12
2024-10-06,3468.24
2024-10-07,3651.24
2024-10-08,5373.11
2024-10-09,5664.24
2024-10-10,5167.7
2024-10-11,5611.19
2024-10-12,6625.1
2024-10-13,2686.17
2024-10-14,4387.66
2024-10-15,3915.83
2024-10-16,5092.78
2024-10-17,4669.25
2024-10-18,6405.68
2024-10-19,6769.46
2024-10-20,6163.5
2024-10-21,4788.0
2024-10-22,6079.71
2024-10-23,5998.79
2024-10-24,4808.21
2024-10-25,5907.04
2024-10-26,7716.08
2024-10-27,5114.6
2024-10-28,5334.2
2024-10-29,6191.55
2024-10-30,9042.46
2024-10-31,8916.48
2024-11-01,9261.44
2024-11-02,9891.5
2024-11-03,2945.44
2024-11-04,4684.63
2024-11-05,4478.39
2024-11-06,6184.8
2024-11-07,6262.14
2024-11-08,5057.4
2024-11-09,6404.84
2024-11-10,3661.69
2024-11-11,3016.58
2024-11-12,4169.28
2024-11-13,4893.29
2024-11-14,4601.79
2024-11-15,5538.17
2024-11-16,5809.3
2024-11-17,3432.94
2024-11-18,3345.17
2024-11-19,4186.8
2024-11-20,4223.12
2024-11-21,4826.82
2024-11-22,4615.25
2024-11-23,7371.75
2024-11-24,3170.27
2024-11-25,3983.68
2024-11-26,4631.41
2024-11-27,5425.8
2024-11-28,7840.75
2024-11-29,4654.37
2024-11-30,5969.63
2024-12-01,3185.73
2024-12-02,4005.1
2024-12-03,4370.9
2024-12-04,5942.92
2024-12-05,4277.79
2024-12-06,4893.76
2024-12-07,7207.67
2024-12-08,4375.85
2024-12-09,4131.63
2024-12-10,3486.55
2024-12-11,3933.69
2024-12-12,5917.36
2024-12-13,6455.32
2024-12-14,4315.92
2024-12-15,3601.42
2024-12-16,4299.26
2024-12-17,3753.06
2024-12-18,5679.09
2024-12-19,4794.23
2024-12-20,5284.33
2024-12-21,5252.09
2024-12-22,4056.91
2024-12-23,4806.83
2024-12-24,4132.48
2024-12-25,4650.69
2024-12-26,4359.87
2024-12-27,6649.08
2024-12-28,4511.23
2024-12-29,4099.75
2024-12-30,3612.75
2024-12-31,3701.27
2025-01-01,7338.04
2025-01-02,3717.45
2025-01-03,6544.38
2025-01-04,7127.91
2025-01-05,2770.12
2025-01-06,4523.63
2025-01-07,3426.92
2025-01-08,4141.8
2025-01-09,4627.67
2025-01-10,6085.84
2025-01-11,5818.88
2025-01-12,3309.72
2025-01-13,4235.97
2025-01-14,4790.43
2025-01-15,4091.01
2025-01-16,5262.51
2025-01-17,4584.59
2025-01-18,6575.9
2025-01-19,5177.23
2025-01-20,4236.84
2025-01-21,4775.41
2025-01-22,5054.33
2025-01-23,5149.14
2025-01-24,5466.43
2025-01-25,5270.06
2025-01-26,3524.66
2025-01-27,3348.22
2025-01-28,4057.37
2025-01-29,5609.56
2025-01-30,5888.44
2025-01-31,6412.68
2025-02-01,7029.16
2025-02-02,4675.31
2025-02-03,4199.91
2025-02-04,4115.3
2025-02-05,5718.86
2025-02-06,5159.44
2025-02-07,4596.75
2025-02-08,6954.8
2025-02-09,2666.89
2025-02-10,6162.71
2025-02-11,3427.79
2025-02-12,5908.41
2025-02-13,4667.23
2025-02-14,6229.73
2025-02-15,6239.07
2025-02-16,3058.53
2025-02-17,5006.34
2025-02-18,4702.77
2025-02-19,3927.28
2025-02-20,5333.09
2025-02-21,4893.51
2025-02-22,6559.92
2025-02-23,4266.76
2025-02-24,3610.96
2025-02-25,5504.24
2025-02-26,4615.3
2025-02-27,6758.82
2025-02-28,5044.25
2025-03-01,5230.61
2025-03-02,4661.22
2025-03-03,4989.11
2025-03-04,3996.61
2025-03-05,5549.94
2025-03-06,5686.11
2025-03-07,7404.47
2025-03-08,8677.25
2025-03-09,4043.37
2025-03-10,2999.85
2025-03-11,4082.75
2025-03-12,5982.18
2025-03-13,5209.26
2025-03-14,6987.59
2025-03-15,4902.38
2025-03-16,4582.6
2025-03-17,2873.35
2025-03-18,5466.23
2025-03-19,3660.9
2025-03-20,5921.21
2025-03-21,7825.27
2025-03-22,6554.29
2025-03-23,3781.01
2025-03-24,3749.69
2025-03-25,4516.09
2025-03-26,3832.63
2025-03-27,5690.7
2025-03-28,5676.8
2025-03-29,7198.46
2025-03-30,3425.1
2025-03-31,4833.49
2025-04-01,4925.09
2025-04-02,5633.4
2025-04-03,4859.53
2025-04-04,5183.35
2025-04-05,4277.3
2025-04-06,2812.66
2025-04-07,3103.07
2025-04-08,4977.45
2025-04-09,4695.98
2025-04-10,3765.91
2025-04-11,5164.52
2025-04-12,5306.65
2025-04-13,4172.05
2025-04-14,4084.74
2025-04-15,4869.93
2025-04-16,4174.36
2025-04-17,6763.59
2025-04-18,6303.8
2025-04-19,6358.05
2025-04-20,3983.36
2025-04-21,4860.06
2025-04-22,3732.14
2025-04-23,3727.38
2025-04-24,4100.5
2025-04-25,7251.76
2025-04-26,5105.73
2025-04-27,3844.03
2025-04-28,4551.05
2025-04-29,3430.41
2025-04-30,7297.33
2025-05-01,5810.13
2025-05-02,4318.17
2025-05-03,6050.8
2025-05-04,3917.13
2025-05-05,5380.07
2025-05-06,4961.49
2025-05-07,5289.66
2025-05-08,4524.08
2025-05-09,7554.93
2025-05-10,5743.3
2025-05-11,3665.32
2025-05-12,4543.16
2025-05-13,4190.31
2025-05-14,6081.4
2025-05-15,5883.97
2025-05-16,5269.93
2025-05-17,5357.44
2025-05-18,2973.35
2025-05-19,4083.17
2025-05-20,4771.0
2025-05-21,4698.36
2025-05-22,4361.94
2025-05-23,5806.86
2025-05-24,4736.13
2025-05-25,3313.83
2025-05-26,5071.59
2025-05-27,3830.16
2025-05-28,6352.13
2025-05-29,5152.58
2025-05-30,5437.39
2025-05-31,6683.36
2025-06-01,3347.78
2025-06-02,4657.77
2025-06-03,4729.35
2025-06-04,6085.55
2025-06-05,6708.65
2025-06-06,4939.06
2025-06-07,8175.48
2025-06-08,2861.63
2025-06-09,3529.82
2025-06-10,3123.11
2025-06-11,4651.52
2025-06-12,6647.66
2025-06-13,4171.98
2025-06-14,6305.79
2025-06-15,4816.09
2025-06-16,4235.28
2025-06-17,4069.43
2025-06-18,4818.52
2025-06-19,5167.8
2025-06-20,5075.16
2025-06-21,6339.42
2025-06-22,3679.48
2025-06-23,4841.74
2025-06-24,4978.0
2025-06-25,4963.67
2025-06-26,6467.22
2025-06-27,4863.94
2025-06-28,5828.55
2025-06-29,5793.81
2025-06-30,6463.84
2025-07-01,4068.11
2025-07-02,3639.8
2025-07-03,6144.37
2025-07-04,6628.0
2025-07-05,5521.11
2025-07-06,3293.68
2025-07-07,4948.43
2025-07-08,5499.18
2025-07-09,6114.36
2025-07-10,5734.15
2025-07-11,5503.24
2025-07-12,8288.62
2025-07-13,3746.42
2025-07-14,3893.38
2025-07-15,5839.44
2025-07-16,5278.27
2025-07-17,5474.72
2025-07-18,7501.68
2025-07-19,6449.76
2025-07-20,3806.85
2025-07-21,3304.64
2025-07-22,4093.2
2025-07-23,5171.49
2025-07-24,5027.75
2025-07-25,5039.86
2025-07-26,5358.25
2025-07-27,4692.12
2025-07-28,4081.68
2025-07-29,3553.5
2025-07-30,5568.03
2025-07-31,3911.54
2025-08-01,5291.13
2025-08-02,6899.1
2025-08-03,3927.67
2025-08-04,4226.94
2025-08-05,4045.0
2025-08-06,6383.53
2025-08-07,4426.89
2025-08-08,6479.22
2025-08-09,4412.53
2025-08-10,2924.52
2025-08-11,4007.31
2025-08-12,3058.88
2025-08-13,4796.66
2025-08-14,5602.94
2025-08-15,4829.58
2025-08-16,5834.64
2025-08-17,3739.11
2025-08-18,2748.76
2025-08-19,4778.78
2025-08-20,6327.37
2025-08-21,5381.67
2025-08-22,6836.08
2025-08-23,6516.57
2025-08-24,4830.09
2025-08-25,5068.13
2025-08-26,3486.84
2025-08-27,5042.64
2025-08-28,6059.83
2025-08-29,4561.78
2025-08-30,7844.36
2025-08-31,3818.96
2025-09-01,5350.73
2025-09-02,6099.98
2025-09-03,5685.79
2025-09-04,6378.55
2025-09-05,5347.61
2025-09-06,5475.0
2025-09-07,3416.54
