date,amount
2023-10-15,5850
2023-10-16,4650
2023-10-17,3550
2023-10-18,4400
2023-10-19,4350
2023-10-20,5150
2023-10-21,5450
2023-10-22,5950
2023-10-23,4500
2023-10-24,4750
2023-10-25,4300
2023-10-26,4950
2023-10-27,4550
2023-10-28,5750
2023-10-29,5950
2023-10-30,5400
2023-10-31,4150
2023-11-01,5050
2023-11-02,4700
2023-11-03,5950
2023-11-04,9650
2023-11-05,9750
2023-11-06,9000
2023-11-07,11000
2023-11-08,12200
2023-11-09,9250
2023-11-10,15800
2023-11-11,15250
2023-11-12,17600
2023-11-13,7750
2023-11-14,5300
2023-11-15,3750
2023-11-16,4500
2023-11-17,5200
2023-11-18,5350
2023-11-19,6300
2023-11-20,3900
2023-11-21,4050
2023-11-22,4550
2023-11-23,4300
2023-11-24,5200
2023-11-25,5850
2023-11-26,5650
2023-11-27,4000
2023-11-28,4300
2023-11-29,4700
2023-11-30,4800
2023-12-01,5050
2023-12-02,5150
2023-12-03,5600
2023-12-04,5100
2023-12-05,4700
2023-12-06,4700
2023-12-07,4450
2023-12-08,4500
2023-12-09,6200
2023-12-10,6200
2023-12-11,4300
2023-12-12,4600
2023-12-13,4700
2023-12-14,5350
2023-12-15,4500
2023-12-16,5850
2023-12-17,6500
2023-12-18,5300
2023-12-19,4300
2023-12-20,4450
2023-12-21,4900
2023-12-22,4350
2023-12-23,5950
2023-12-24,7400
2023-12-25,4850
2023-12-26,3750
2023-12-27,4300
2023-12-28,4400
2023-12-29,5650
2023-12-30,5750
2023-12-31,5150
2024-01-01,5050
2024-01-02,5150
2024-01-03,4800
2024-01-04,4600
2024-01-05,6850
2024-01-06,6900
2024-01-07,7300
2024-01-08,4650
2024-01-09,4450
2024-01-10,4500
2024-01-11,4150
2024-01-12,6050
2024-01-13,5850
2024-01-14,7050
2024-01-15,4550
2024-01-16,5000
2024-01-17,4850
2024-01-18,4150
2024-01-19,6200
2024-01-20,5750
2024-01-21,5600
2024-01-22,5100
2024-01-23,4800
2024-01-24,5000
2024-01-25,4850
2024-01-26,4250
2024-01-27,5550
2024-01-28,5750
2024-01-29,5300
2024-01-30,4850
2024-01-31,5100
2024-02-01,5050
2024-02-02,6000
2024-02-03,6450
2024-02-04,6700
2024-02-05,5350
2024-02-06,5300
2024-02-07,6800
2024-02-08,4500
2024-02-09,4600
2024-02-10,6300
2024-02-11,5950
2024-02-12,3950
2024-02-13,4400
2024-02-14,6150
2024-02-15,4500
2024-02-16,4500
2024-02-17,7650
2024-02-18,5750
2024-02-19,6600
2024-02-20,4750
2024-02-21,5900
2024-02-22,4850
2024-02-23,5650
2024-02-24,6100
2024-02-25,6300
2024-02-26,5100
2024-02-27,5200
2024-02-28,5050
2024-02-29,5000
2024-03-01,5450
2024-03-02,6650
2024-03-03,8250
2024-03-04,5000
2024-03-05,5550
2024-03-06,6100
2024-03-07,5650
2024-03-08,5950
2024-03-09,5600
2024-03-10,6700
2024-03-11,4850
2024-03-12,4900
2024-03-13,5800
2024-03-14,4900
2024-03-15,5600
2024-03-16,5250
2024-03-17,7800
2024-03-18,5500
2024-03-19,5000
2024-03-20,4850
2024-03-21,5350
2024-03-22,6150
2024-03-23,7500
2024-03-24,7150
2024-03-25,5100
2024-03-26,5550
2024-03-27,5450
2024-03-28,5100
2024-03-29,5900
2024-03-30,6800
2024-03-31,6550
2024-04-01,5200
2024-04-02,5800
2024-04-03,4950
2024-04-04,4850
2024-04-05,6100
2024-04-06,7250
2024-04-07,7350
2024-04-08,5250
2024-04-09,4100
2024-04-10,5350
2024-04-11,5850
2024-04-12,6000
2024-04-13,6850
2024-04-14,6750
2024-04-15,5200
2024-04-16,5000
2024-04-17,5250
2024-04-18,4550
2024-04-19,6350
2024-04-20,5800
2024-04-21,7200
2024-04-22,5750
2024-04-23,5500
2024-04-24,6400
2024-04-25,4150
2024-04-26,3650
2024-04-27,7200
2024-04-28,5800
2024-04-29,4650
2024-04-30,5300
2024-05-01,4750
2024-05-02,5500
2024-05-03,6200
2024-05-04,6900
2024-05-05,7250
2024-05-06,5050
2024-05-07,5550
2024-05-08,4850
2024-05-09,3450
2024-05-10,5950
2024-05-11,5500
2024-05-12,5200
2024-05-13,5400
2024-05-14,5100
2024-05-15,5750
2024-05-16,4650
2024-05-17,5400
2024-05-18,6300
2024-05-19,6150
2024-05-20,4600
2024-05-21,5400
2024-05-22,4350
2024-05-23,4500
2024-05-24,5350
2024-05-25,6850
2024-05-26,6150
2024-05-27,4650
2024-05-28,4900
2024-05-29,5150
2024-05-30,4800
2024-05-31,6000
2024-06-01,7500
2024-06-02,6900
2024-06-03,6500
2024-06-04,5400
2024-06-05,5950
2024-06-06,5550
2024-06-07,6000
2024-06-08,5250
2024-06-09,5750
2024-06-10,4800
2024-06-11,5500
2024-06-12,5100
2024-06-13,4800
2024-06-14,5700
2024-06-15,6850
2024-06-16,6400
2024-06-17,5000
2024-06-18,4950
2024-06-19,4900
2024-06-20,4550
2024-06-21,4900
2024-06-22,6500
2024-06-23,7100
2024-06-24,4750
2024-06-25,4750
2024-06-26,2850
2024-06-27,4000
2024-06-28,6050
2024-06-29,5650
2024-06-30,4700
2024-07-01,6700
2024-07-02,4950
2024-07-03,4500
2024-07-04,3700
2024-07-05,6150
2024-07-06,7000
2024-07-07,7450
2024-07-08,4400
2024-07-09,5500
2024-07-10,5550
2024-07-11,5550
2024-07-12,5350
2024-07-13,5800
2024-07-14,6000
2024-07-15,4100
2024-07-16,4550
2024-07-17,3750
2024-07-18,4050
2024-07-19,5350
2024-07-20,5850
2024-07-21,6350
2024-07-22,5150
2024-07-23,4950
2024-07-24,4900
2024-07-25,4700
2024-07-26,4800
2024-07-27,5250
