date,amount
2026-07-16,13350
2026-07-17,15850
2026-07-18,16550
2026-07-19,18500
2026-07-20,11050
2026-07-21,11700
2026-07-22,12500
2026-07-23,13450
2026-07-24,15150
2026-07-25,17550
2026-07-26,16400
2026-07-27,11000
2026-07-28,11950
2026-07-29,13300
2026-07-30,13000
2026-07-31,17300
2026-08-01,18800
2026-08-02,19100
2026-08-03,15950
2026-08-04,16200
2026-08-05,16850
2026-08-06,16150
2026-08-07,18700
2026-08-08,16650
2026-08-09,16900
2026-08-10,12500
2026-08-11,13600
2026-08-12,11300
2026-08-13,11550
2026-08-14,16850
2026-08-15,15250
2026-08-16,15300
2026-08-17,13800
2026-08-18,10950
2026-08-19,12600
2026-08-20,12750
2026-08-21,18050
2026-08-22,16050
2026-08-23,16350
2026-08-24,12500
2026-08-25,13600
2026-08-26,11700
2026-08-27,12500
2026-08-28,17550
2026-08-29,16650
2026-08-30,17850
2026-08-31,11500
2026-09-01,16250
2026-09-02,14250
2026-09-03,16550
2026-09-04,19000
2026-09-05,19350
2026-09-06,20600
2026-09-07,15100
2026-09-08,10900
2026-09-09,11750
2026-09-10,13800
2026-09-11,15500
2026-09-12,18350
2026-09-13,15400
2026-09-14,11750
2026-09-15,11650
2026-09-16,13350
2026-09-17,13950
2026-09-18,16400
2026-09-19,15550
2026-09-20,15850
2026-09-21,13950
2026-09-22,10550
2026-09-23,12450
2026-09-24,13400
2026-09-25,15550
2026-09-26,17400
2026-09-27,18350
2026-09-28,10750
2026-09-29,12600
2026-09-30,12750
2026-10-01,13600
2026-10-02,18050
2026-10-03,21400
2026-10-04,19300
2026-10-05,16600
2026-10-06,15050
2026-10-07,15650
2026-10-08,10600
2026-10-09,15400
2026-10-10,24050
2026-10-11,23050
2026-10-12,20050
2026-10-13,18850
2026-10-14,21300
